station,lon,lat,arrondissement,nb_depart,nb_arrivee,nb_total
Louis-Hémon / Rosemont,-73.58791708946228,45.54430551341823,Rosemont - La Petite-Patrie,20,19,39
Mackay / René-Lévesque,-73.57411649085407,45.49445745087875,Ville-Marie,1,1,2
Maguire / Henri-Julien,-73.59347056655677,45.527041096087785,Le Plateau-Mont-Royal,29,19,48
Maguire / St-Laurent,-73.5958108305931,45.52462848559264,Le Plateau-Mont-Royal,64,58,122
Mansfield / Sherbrooke,-73.5751303658617,45.50301533529815,Ville-Marie,168,169,337
Marché Atwater,-73.57759863138199,45.48020822800015,Le Sud-Ouest,800,968,1768
Marché Jean-Talon (Casgrain / Shamrock),-73.61548215150833,45.53519006163501,Rosemont - La Petite-Patrie,3317,3391,6708
Marché Maisonneuve (Ontario / Morgan),-73.53978216648102,45.55321884238814,Mercier - Hochelaga-Maisonneuve,1283,1809,3092
Marché St-Jacques (Atateken),-73.5639146839003,45.52066599241888,Ville-Marie,3400,4329,7729
Marie-Anne / Papineau,-73.5724139213562,45.53176697148175,Le Plateau-Mont-Royal,213,225,438
Marie-Anne / St-Hubert,-73.5788968205452,45.5246829812827,Le Plateau-Mont-Royal,200,178,378
Marie-Anne / de la Roche,-73.5762870311737,45.52755050760189,Le Plateau-Mont-Royal,146,125,271
Marmier / St-Denis,-73.59839648008347,45.53080495407925,Rosemont - La Petite-Patrie,138,80,218
Marquette / Laurier,-73.5822,45.53543,Le Plateau-Mont-Royal,304,223,527
Marquette / des Carrières,-73.58865737915039,45.53859456744162,Rosemont - La Petite-Patrie,2209,1818,4027
Marquette / du Mont-Royal,-73.57543140649796,45.53221791147474,Le Plateau-Mont-Royal,250,241,491
Marquette / du Mont-Royal (sud),-73.57514306902884,45.53207722797955,Le Plateau-Mont-Royal,373,366,739
Masson / Molson,-73.57697686180472,45.54434593245247,Rosemont - La Petite-Patrie,3005,2974,5979
McGill / Place d'Youville,-73.55625258141116,45.500014581102505,Ville-Marie,1614,2218,3832
McTavish / Sherbrooke,-73.57589408755302,45.50277615861811,Ville-Marie,4282,4716,8998
Melrose / de Verdun,-73.57238446649716,45.45381979371188,Verdun,803,781,1584
Messier / Rachel,-73.56532464451448,45.53451813633701,Le Plateau-Mont-Royal,149,130,279
Messier / St-Joseph,-73.57605636119843,45.53946063965585,Le Plateau-Mont-Royal,1792,1699,3491
Messier / du Mont-Royal,-73.5710031,45.53711414,Le Plateau-Mont-Royal,166,153,319
Metcalfe / de Maisonneuve,-73.57427495998309,45.50177034353527,Ville-Marie,62,76,138
Metcalfe / de Maisonneuve (sud),-73.5734578129086,45.50137502733013,Ville-Marie,99,82,181
Milton / Durocher,-73.57492983341217,45.508140959417744,Le Plateau-Mont-Royal,145,135,280
Milton / Hutchison,-73.57421151364179,45.508959131298816,Le Plateau-Mont-Royal,100,104,204
Milton / St-Laurent,-73.57055649161339,45.512916325090295,Le Plateau-Mont-Royal,3594,2777,6371
Molson / Beaubien,-73.59132108093945,45.54977750895228,Rosemont - La Petite-Patrie,22,24,46
Molson / William-Tremblay,-73.56496073305605,45.541602844435374,Rosemont - La Petite-Patrie,2204,2319,4523
Montcalm / Ontario,-73.56229394674301,45.52110494530867,Ville-Marie,155,199,354
Montcalm / de Maisonneuve,-73.55788965214742,45.519131967116216,Ville-Marie,90,129,219
Mozart / Drolet,-73.61286163330078,45.53632505680015,Rosemont - La Petite-Patrie,73,79,152
Mozart / Waverly,-73.61701235175133,45.5315236502754,Rosemont - La Petite-Patrie,33,38,71
Métro Acadie (de l'Acadie / Beaumont),-73.62344294786453,45.52357479400008,Villeray—Saint-Michel—Parc-Extension,1,3,4
Métro Atwater (Atwater / Ste-Catherine),-73.58455628156662,45.48948092966191,Ville-Marie,3035,2409,5444
Métro Beaubien (de St-Vallier / Beaubien),-73.60463261604308,45.53478444274838,Rosemont - La Petite-Patrie,3464,3160,6624
Métro Beaudry (Beaudry / Ste-Catherine),-73.55593845248222,45.51888453178292,Ville-Marie,105,132,237
Métro Bonaventure (de la Gauchetière / Mansfield),-73.56685843325977,45.49884749025835,Ville-Marie,19,17,36
Métro Champ-de-Mars (Hôtel-de-Ville / Viger),-73.55743234369584,45.50956143036354,Ville-Marie,30,31,61
Métro Charlevoix (Centre / Charlevoix),-73.56956273317337,45.47840089832752,Inconnu,0,1,1
Métro Crémazie (Crémazie / Lajeunesse),-73.63842844963074,45.54640752148169,Ahuntsic-Cartierville,984,1012,1996
Métro Frontenac (Ontario / du Havre),-73.55217933654784,45.53370598779895,Ville-Marie,1909,2558,4467
Métro Henri-Bourassa (Henri-Bourassa / Millen),-73.66716161370277,45.55675103297278,Ahuntsic-Cartierville,246,325,571
Métro Jolicoeur (de Sève / Drake),-73.58193710446358,45.45608545783109,Le Sud-Ouest,234,258,492
Métro Joliette  (Hochelaga / Joliette),-73.55115339159964,45.54699194653282,Mercier - Hochelaga-Maisonneuve,1509,1793,3302
Métro Langelier (Langelier / Sherbrooke),-73.54247644543648,45.58284663189181,Mercier - Hochelaga-Maisonneuve,95,116,211
Métro Laurier (Berri / St-Joseph),-73.58672618865965,45.52723106564012,Le Plateau-Mont-Royal,2471,1666,4137
Métro Lionel-Groulx (St-Jacques / Atwater),-73.57975836854166,45.48295816149219,Le Sud-Ouest,1372,1733,3105
Métro Lucien-L'Allier (Lucien l'Allier / Argyle),-73.57112377882004,45.49487159597493,Ville-Marie,1517,1066,2583
