station,lon,lat,nb_depart,nb_arrivee,nb_total,arrondissement
Clanranard / de la Côte-St-Luc,-73.62692713737488,45.47900836315578,202,187,389,Côte-des-Neiges - Notre-Dame-de-Grâce
Clark / Evans,-73.56784012175922,45.511105776623936,15612,18152,33764,Ville-Marie
Clark / Fleury,-73.66522908210754,45.54758205939525,3939,4224,8163,Ahuntsic-Cartierville
Clark / Laurier,-73.59361327255101,45.52258379226127,28946,28870,57816,Le Plateau-Mont-Royal
Clark / Prince-Arthur,-73.57301607728004,45.513342512307055,31815,26863,58678,Le Plateau-Mont-Royal
Clark / Rachel,-73.58241524554614,45.517537449207474,26974,24177,51151,Le Plateau-Mont-Royal
Clark / St-Viateur,-73.59935637563467,45.5251943015533,21948,22121,44069,Le Plateau-Mont-Royal
Clark / de Liège,-73.63811277307832,45.53998802401576,7254,7391,14645,Villeray—Saint-Michel—Parc-Extension
Clark / de l'Arcade,-73.60398352146149,45.527371996141,11184,10648,21832,Le Plateau-Mont-Royal
Coffee / Elmhurst,-73.64039182662964,45.454791592731134,2121,2382,4503,Côte-des-Neiges - Notre-Dame-de-Grâce
Collège Ahuntsic (St-Hubert / Émile-Journault),-73.64060204476118,45.55118940267553,172,202,374,Ahuntsic-Cartierville
Collège Bois-de-Boulogne (Bois-de-Boulogne),-73.67478135508463,45.53690740947054,2581,2735,5316,Ahuntsic-Cartierville
Collège Grasset (Crémazie / Christophe Colomb),-73.63216600382657,45.55098964971912,1746,1864,3610,Ahuntsic-Cartierville
Collège de Maisonneuve (Sherbrooke / Bourbonnière),-73.55469642207026,45.55144364425768,73,77,150,Mercier - Hochelaga-Maisonneuve
Collège de Rosemont (Beaubien / 15e avenue),-73.58380123972893,45.55774990838239,5870,5813,11683,Rosemont - La Petite-Patrie
Coloniale / Duluth,-73.57842743396758,45.51786873150825,26775,25078,51853,Le Plateau-Mont-Royal
Complexe Desjardins (St-Urbain / René-Lévesque),-73.56315059590997,45.50788520688478,17087,28263,45350,Ville-Marie
Complexe sportif Claude-Robillard (Émile-Journault),-73.6383855342865,45.55358456339093,4814,5427,10241,Ahuntsic-Cartierville
Crescent / de Maisonneuve,-73.57759594917297,45.49812041247333,19874,18931,38805,Ville-Marie
Curé-Poirier / Joliette,-73.48791999746027,45.52034169784984,1146,1086,2232,Longueuil
Cyclo Gervais,-73.60187530517578,45.530161525297935,0,21,21,Inconnu
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),-73.56598667800426,45.51401222645779,10496,11546,22042,Ville-Marie
Cégep André-Laurendeau (Lapierre),-73.60577523708344,45.43605512104547,3122,3216,6338,LaSalle
Cégep Marie-Victorin,-73.60601127147675,45.61749978312808,424,424,848,Rivière-des-Prairies - Pointe-aux-Trembles
Cégep Édouard-Montpetit (de Normandie),-73.49498215598032,45.53724605357659,915,910,1825,Longueuil
D'Iberville/Fleury,-73.64741921424866,45.575431237891664,383,406,789,Ahuntsic-Cartierville
Dandurand / D'Iberville,-73.5809513926506,45.5443716426341,6846,6583,13429,Rosemont - La Petite-Patrie
Daniel-Johnson / Cartier O,-73.72530519962311,45.54334371050831,466,461,927,Laval
Darling / Sherbrooke,-73.55673909187317,45.54545514686953,6046,4493,10539,Rosemont - La Petite-Patrie
Davaar / de la Côte-Ste-Catherine,-73.610871,45.514379,3527,3128,6655,Outremont
De Callières / d'Auvergne,-73.6690217256546,45.59342197869864,401,431,832,Laval
De la Commune / Autoroute Bonaventure,-73.55356428307459,45.49317114350468,987,1340,2327,Ville-Marie
Desaulniers / Marquette,-73.51046747529834,45.52468003531612,1597,1650,3247,Longueuil
Desjardins / Ontario,-73.54087114334106,45.55118417872238,9284,11414,20698,Mercier - Hochelaga-Maisonneuve
Dixie / 54e avenue,-73.71770113706589,45.44255264540259,632,668,1300,Lachine
Dollard / Bernard,-73.61142262816429,45.51678269880724,5981,5164,11145,Outremont
Dollard / Van Horne,-73.6161071062088,45.51887607468706,8869,8407,17276,Outremont
Dorion / Ontario,-73.55821162462234,45.526991277453526,20749,23486,44235,Ville-Marie
Drolet / Beaubien,-73.605834,45.533348,14601,12177,26778,Rosemont - La Petite-Patrie
Drolet / Gounod,-73.62637460231781,45.54095134225734,7579,7149,14728,Villeray—Saint-Michel—Parc-Extension
Drolet / Jarry,-73.62994194030762,45.54195463236575,6822,6200,13022,Villeray—Saint-Michel—Parc-Extension
Drolet / Marie-Anne,-73.58117669820786,45.52240257341408,21039,20320,41359,Le Plateau-Mont-Royal
Drolet / St-Zotique,-73.60941231250763,45.53488214147823,10563,9100,19663,Rosemont - La Petite-Patrie
Drummond / Sherbrooke,-73.578113079202,45.50053575221416,14376,13648,28024,Ville-Marie
